name|region|link|population|children|pupils|settl_num|revenue|rev_budg_ua|budget|dotation|dot_reverse|area|inst_num|school_13|school_12|school_1|kindergart|extracur|culture|physical|med_assist|dispensary|clinic|ambulance|build_gen|court|civil_prop|retirement|social_prot|fire_secur|treasury|local_govern|
Бабчинецька територіальна громада|Вінницька область|http://decentralization.gov.ua/region/common/id/341||||||||||||||||||||||||||||||||
Барська територіальна громада|Вінницька область|http://decentralization.gov.ua/region/common/id/248||||||||||||||||||||||||||||||||
Вапнярська територіальна громада|Вінницька область|http://decentralization.gov.ua/region/common/id/326|8364|566|920|2|12673223|12573223|100000|0|0|341|18||||3|1|4|1|2|2|1|1||true|true|true|true|true|true|||
Вороновицька територіальна громада|Вінницька область|http://decentralization.gov.ua/region/common/id/262||||||||||||||||||||||||||||||||
Дашівська територіальна громада|Вінницька область|http://decentralization.gov.ua/region/common/id/352||||||||||||||||||||||||||||||||
Джулинська територіальна громада|Вінницька область|http://decentralization.gov.ua/region/common/id/255||||||||||||||||||||||||||||||||
Жданівська територіальна громада|Вінницька область|http://decentralization.gov.ua/region/common/id/338||||||||||||||||||||||||||||||||
Іллінецька територіальна громада|Вінницька область|http://decentralization.gov.ua/region/common/id/353||1382||20|36769000||5 165 000|0|0|332|||||11|1|14|5|15|3|1|1||true|true|true|true|true|true|true||
Калинівська територіальна громада|Вінницька область|http://decentralization.gov.ua/region/common/id/279|19985|1365|2309|5|10856488|10136488     720000|10136488     720000|10136488     720000|10136488     720000|8837|22|4|1||8|1|2|2|1|2|1|0||true|true|true|true|true|true|true||
Ковалівська територіальна громада|Вінницька область|http://decentralization.gov.ua/region/common/id/306||||||||||||||||||||||||||||||||
Кунківська територіальна громада|Вінницька область|http://decentralization.gov.ua/region/common/id/1346||||||||||||||||||||||||||||||||
Мельниківська територіальна громада|Вінницька область|http://decentralization.gov.ua/region/common/id/309||||||||||||||||||||||||||||||||
Мурафська територіальна громада|Вінницька область|http://decentralization.gov.ua/region/common/id/348||||||||||||||||||||||||||||||||
Немирівська територіальна громада|Вінницька область|http://decentralization.gov.ua/region/common/id/310||||||||||||||||||||||||||||||||
Оратівська територіальна громада|Вінницька область|http://decentralization.gov.ua/region/common/id/312||||||||||||||||||||||||||||||||
Райгородська територіальна громада|Вінницька область|http://decentralization.gov.ua/region/common/id/1320||||||||||||||||||||||||||||||||
Северинівська територіальна громада|Вінницька область|http://decentralization.gov.ua/region/common/id/277||||||||||||||||||||||||||||||||
Ситковецька територіальна громада|Вінницька область|http://decentralization.gov.ua/region/common/id/311||||||||||||||||||||||||||||||||
Сокиринецька територіальна громада|Вінницька область|http://decentralization.gov.ua/region/common/id/266||||||||||||||||||||||||||||||||
Студенянська територіальна громада|Вінницька область|http://decentralization.gov.ua/region/common/id/716|3247|121|505|9|8851200|7848900|0|1002300|0|129.30|16|1|1|0|2|0|6|0|5|1|0|0||true|true|true|true|true|true|true||
Томашпільська територіальна громада|Вінницька область|http://decentralization.gov.ua/region/common/id/329||||||||||||||||||||||||||||||||
Тульчинська територіальна громада|Вінницька область|http://decentralization.gov.ua/region/common/id/335||||||||||||||||||||||||||||||||
Шпиківська територіальна громада|Вінницька область|http://decentralization.gov.ua/region/common/id/336||||||||||||||||||||||||||||||||
Якушинецька територіальна громада|Вінницька область|http://decentralization.gov.ua/region/common/id/268||||||||||||||||||||||||||||||||
Велицька територіальна громада|Волинська область|http://decentralization.gov.ua/region/common/id/719|4015|203|486|12|2853800|1150200|0|1703600|0|212|33|3|1|5|0|0|12|0|10|2|0|0|true|true|true|true|true|true|true|true||
Вишнівська  територіальна громада|Волинська область|http://decentralization.gov.ua/region/common/id/1349||||||||||||||||||||||||||||||||
Голобська територіальна громада|Волинська область|http://decentralization.gov.ua/region/common/id/720|7679|407|820|19|6230100|3656600|0|2573500|0|224|49|2|4|4|1|3|15|1|16|1|1|1|true|true|true|true|true|true|true|true||
Дубівська територіальна громада|Волинська область|http://decentralization.gov.ua/region/common/id/1260||||||||||||||||||||||||||||||||
Заболоттівська територіальна громада|Волинська область|http://decentralization.gov.ua/region/common/id/895||||||||||||||||||||||||||||||||
Заборольська територіальна громада|Волинська область|http://decentralization.gov.ua/region/common/id/1348||||||||||||||||||||||||||||||||
Забродівська територіальна громада|Волинська область|http://decentralization.gov.ua/region/common/id/1350||||||||||||||||||||||||||||||||
Зимнівська територіальна громада|Волинська область|http://decentralization.gov.ua/region/common/id/717|5460|537|623|17|5224400|2782800|4800|2436800|0|175|40|3|1|4|3|0|14|0|15|0|0|0|true|true|true|false|true|true|false|true||
Княгининівська територіальна громада|Волинська область|http://decentralization.gov.ua/region/common/id/1322||||||||||||||||||||||||||||||||
Колодяжненська територіальна громада|Волинська область|http://decentralization.gov.ua/region/common/id/1347||||||||||||||||||||||||||||||||
Литовезька територіальна громада|Волинська область|http://decentralization.gov.ua/region/common/id/862||||||||||||||||||||||||||||||||
Люблинецька територіальна громада|Волинська область|http://decentralization.gov.ua/region/common/id/875||||||||||||||||||||||||||||||||
Павлівська територіальна громада|Волинська область|http://decentralization.gov.ua/region/common/id/863||||||||||||||||||||||||||||||||
Поворська територіальна громада|Волинська область|http://decentralization.gov.ua/region/common/id/876||||||||||||||||||||||||||||||||
Поромівська територіальна громада|Волинська область|http://decentralization.gov.ua/region/common/id/1321||||||||||||||||||||||||||||||||
Прилісненська територіальна громада|Волинська область|http://decentralization.gov.ua/region/common/id/891||||||||||||||||||||||||||||||||
Самарівська територіальна громада|Волинська область|http://decentralization.gov.ua/region/common/id/896||||||||||||||||||||||||||||||||
Смолигівська територіальна громада|Волинська область|http://decentralization.gov.ua/region/common/id/721|1771|147||5|1940000|1940000||||6912|6|||||0||0||||0||||true|true|false||||
Устилузька територіальна громада|Волинська область|http://decentralization.gov.ua/region/common/id/718|7778|568|740|26|8470700|6926000|0|1544700|0|401|61|3|4|3|8|0|21|0|19|1|1|1||true|true|true|true|true|true|true||
Шацька територіальна громада|Волинська область|http://decentralization.gov.ua/region/common/id/903|8739|800|1027|11|11902291|5619959|1908000|4374332|0|24699|false|3|4|0|4|1|10|1|8|1|1|1|true|true|true|true|true|true|true|true||
Апостолівська територіальна громада|Дніпропетровська область|http://decentralization.gov.ua/region/common/id/736||1905||20|1560758|6899004|6000|12413|0|67949|79|||||1||false|||||10|4|2|1|1|1||10||
Аулівська територіальна громада|Дніпропетровська область|http://decentralization.gov.ua/region/common/id/1323||||||||||||||||||||||||||||||||
Богданівська територіальна громада|Дніпропетровська область|http://decentralization.gov.ua/region/common/id/729|7120|380|704|9|3146577|3146577|0|0|95220|3628|19|||0|3|0|3|0|5|2|0||0|0|0|0|0|0|0|3||
Божедарівська територіальна громада|Дніпропетровська область|http://decentralization.gov.ua/region/common/id/1324||||||||||||||||||||||||||||||||
Вакулівська територіальна громада|Дніпропетровська область|http://decentralization.gov.ua/region/common/id/722||||||||||||||||||||||||||||||||
Варварівська територіальна громада|Дніпропетровська область|http://decentralization.gov.ua/region/common/id/1261||||||||||||||||||||||||||||||||
Васильківська територіальна громада|Дніпропетровська область|http://decentralization.gov.ua/region/common/id/1262||||||||||||||||||||||||||||||||
Великомихайлівська територіальна громада|Дніпропетровська область|http://decentralization.gov.ua/region/common/id/1263|3987|190|326|2|52344|52344|00|00|00|1466|12|||0|2|0|4|0|2|1|0||7|1|2|1|1|1|1|2||
Вербківська територіальна громада|Дніпропетровська область|http://decentralization.gov.ua/region/common/id/728|8103|519|790|12|4807612|3567352|0|0|124026|4503|22|||0|3|1|4|0|7|2|0||0|0|0|0|0|0|0|4||
Вишнівська територіальна громада|Дніпропетровська область|http://decentralization.gov.ua/region/common/id/1264||||||||||||||||||||||||||||||||
Гречаноподіївська територіальна громада|Дніпропетровська область|http://decentralization.gov.ua/region/common/id/1265|3728|||13|30145200|||||206468|18||||2||7||||||6|true|true|true|true|true|true|2||
Грушівська територіальна громада|Дніпропетровська область|http://decentralization.gov.ua/region/common/id/735||||||||||||||||||||||||||||||||
Зеленодольська територіальна громада|Дніпропетровська область|http://decentralization.gov.ua/region/common/id/733|20856|1032||4||439115|113413|0|||29|||||2||1||||0||||0|0|1||3||
Криничанська територіальна громада|Дніпропетровська область|http://decentralization.gov.ua/region/common/id/963||||||||||||||||||||||||||||||||
Лихівська територіальна громада|Дніпропетровська область|http://decentralization.gov.ua/region/common/id/995||||||||||||||||||||||||||||||||
Ляшківська територіальна громада|Дніпропетровська область|http://decentralization.gov.ua/region/common/id/730|2162|143|252|9|57510|18024|00|5865|00|82197|12|||0|2|0|5|0|3|0|0||7|1|2|1|1|1|1|2||
Маломихайлівська територіальна громада|Дніпропетровська область|http://decentralization.gov.ua/region/common/id/992||||||||||||||||||||||||||||||||
Мирівська територіальна громада|Дніпропетровська область|http://decentralization.gov.ua/region/common/id/1244|4154|361|489|7|51151|46498||4653||1297|10||||3||2||2|1|||6|1|1|1|1|1|1|2||
Могилівська територіальна громада|Дніпропетровська область|http://decentralization.gov.ua/region/common/id/732|3987|190|326|3|52344|52344|00|00|00|1466|12|||0|2|0|4|0|2|1|0||7|1|2|1|1|1|1|2||
Нивотрудівська територіальна громада|Дніпропетровська область|http://decentralization.gov.ua/region/common/id/734||||||||||||||||||||||||||||||||
Новолатівська територіальна громада|Дніпропетровська область|http://decentralization.gov.ua/region/common/id/1266||||||||||||||||||||||||||||||||
Новоолександрівська територіальна громада|Дніпропетровська область|http://decentralization.gov.ua/region/common/id/725|11410|895|1197|12|184785|58944|30117|false|false|226159|19|||1|2||6||2|3|0||6|1|1|1|1|1|1|2||
Новопавлівська територіальна громада|Дніпропетровська область|http://decentralization.gov.ua/region/common/id/970||||||||||||||||||||||||||||||||
Новопокровська	територіальна громада|Дніпропетровська область|http://decentralization.gov.ua/region/common/id/724|4104|258|464|14|23977|15140|0|8837|0|22929|24|||0|3|0|10|0|4|2|0||6|1|1|1|1|1|1|3||
Покровська територіальна громада|Дніпропетровська область|http://decentralization.gov.ua/region/common/id/976||||||||||||||||||||||||||||||||
Роздорська територіальна громада|Дніпропетровська область|http://decentralization.gov.ua/region/common/id/999||||||||||||||||||||||||||||||||
Святовасилівська територіальна громада|Дніпропетровська область|http://decentralization.gov.ua/region/common/id/723||313|505|19|43648|41971|0|1677|0|231403|22|||0|3|0|9|0|4|2|0||12|1|4|2|3|0|2|4||
Слобожанська територіальна громада|Дніпропетровська область|http://decentralization.gov.ua/region/common/id/731|14423|1252|1454|2|759161|759161|0|0|0|1664|16|||1|3|1|4|2|1|2|0||6|1|0|1|2|1|1|2||
Солонянська територіальна громада|Дніпропетровська область|http://decentralization.gov.ua/region/common/id/727|14456|493|1419|18|198587|173299|11179|0|14109|3330|39|||0|7|1|10|2|8|1|1||8|2|1|1|2|1|1|4||
Софіївська територіальна громада|Дніпропетровська область|http://decentralization.gov.ua/region/common/id/1004||||||||||||||||||||||||||||||||
Сурсько-Литовська територіальна громада|Дніпропетровська область|http://decentralization.gov.ua/region/common/id/726|6214|439|640|4|37336|37336|0|0|0|1215|12|||0|2|0|5|0|0|2|0||1|0|0|0|0|0|1|3||
Томаківська територіальна громада|Дніпропетровська область|http://decentralization.gov.ua/region/common/id/1005||||||||||||||||||||||||||||||||
Царичанська територіальна громада|Дніпропетровська область|http://decentralization.gov.ua/region/common/id/1267|15227|463|1305|23|722770|341096|false|21593|false|453492||||2|6|2|18|3|6|3|1|1||||||||||
Чкаловська територіальна громада|Дніпропетровська область|http://decentralization.gov.ua/region/common/id/978||||||||||||||||||||||||||||||||
Вільховецька територіальна громада|Закарпатська область|http://decentralization.gov.ua/region/common/id/741||1224||||35894|2954|||||||1||0||||||||||||||||
Іршавська територіальна громада|Закарпатська область|http://decentralization.gov.ua/region/common/id/1352||||||||||||||||||||||||||||||||
Перечинська  територіальна громада|Закарпатська область|http://decentralization.gov.ua/region/common/id/1351||||||||||||||||||||||||||||||||
Полянська територіальна громада|Закарпатська область|http://decentralization.gov.ua/region/common/id/1277||||||||||||||||||||||||||||||||
Тячівська територіальна громада|Закарпатська область|http://decentralization.gov.ua/region/common/id/742||1541||||281118|6228|||||||0||1||||||||||||||||
Берестівська територіальна громада|Запорізька область|http://decentralization.gov.ua/region/common/id/416|4 842|195|619|11|14 055 300|7 815 000||0|0|49815|20|3|0|0|3|0|7|0|4|2|0|1||1|1|1|1|1|1|1||
Біленьківська територіальна громада|Запорізька область|http://decentralization.gov.ua/region/common/id/1325||||||||||||||||||||||||||||||||
Ботіївська територіальна громада|Запорізька область|http://decentralization.gov.ua/region/common/id/417||||||||||||||||||||||||||||||||
Великобілозерська територіальна громада|Запорізька область|http://decentralization.gov.ua/region/common/id/419||||||||||||||||||||||||||||||||
Веселівська територіальна громада|Запорізька область|http://decentralization.gov.ua/region/common/id/421|12 718|704|1 220|9|12 679 053|0||19523|0|43834|29|||3|3|1|8|1|5|5|1|0|6|1|1|1|1|1|1|3||
Водянська територіальна громада|Запорізька область|http://decentralization.gov.ua/region/common/id/422||||||||||||||||||||||||||||||||
Воскресенська територіальна громада|Запорізька область|http://decentralization.gov.ua/region/common/id/743|5 829|242|524|4|9 418 500|11 345 322||0|1 926 822|26470|14|2|1|0|2|0|6|0|1|2|0|0||1|1|1|1|1|1|1||
Гірсівська територіальна громада|Запорізька область|http://decentralization.gov.ua/region/common/id/1278||||||||||||||||||||||||||||||||
Гуляйпільська територіальна громада|Запорізька область|http://decentralization.gov.ua/region/common/id/425||||||||||||||||||||||||||||||||
Долинська територіальна громада|Запорізька область|http://decentralization.gov.ua/region/common/id/1251|5 849|330|626|9|20 127 343|11348 074||0|0|1700|25||||2|0|14|0|4|2|0|0|6|||||||2||
Кам’янсько-Дніпровська територіальна громада|Запорізька область|http://decentralization.gov.ua/region/common/id/432||||||||||||||||||||||||||||||||
Комиш-Зорянська територіальна громада|Запорізька область|http://decentralization.gov.ua/region/common/id/434|6748|300|575|10|6 468 931|6 468 931||||37620|27|4|0|0|4|0|11|0|4|4|0|0||1|1|1|1|1|1|5||
Комишуваська територіальна громада|Запорізька область|http://decentralization.gov.ua/region/common/id/435||||||||||||||||||||||||||||||||
Малотокмачанська територіальна громада|Запорізька область|http://decentralization.gov.ua/region/common/id/1326||||||||||||||||||||||||||||||||
Оріхівська територіальна громада|Запорізька область|http://decentralization.gov.ua/region/common/id/1353||||||||||||||||||||||||||||||||
Осипенківська територіальна громада|Запорізька область|http://decentralization.gov.ua/region/common/id/451|7 981|743|795|7|9 969 699|9 671 596|298 103|0|0|41960|32|3|2|0|4|1|13|1|4|3|0|1|6|1|1|1|1|1|1|1||
Остриківська територіальна громада|Запорізька область|http://decentralization.gov.ua/region/common/id/1328||||||||||||||||||||||||||||||||
Павлівська територіальна громада|Запорізька область|http://decentralization.gov.ua/region/common/id/1354||||||||||||||||||||||||||||||||
Преображенська територіальна громада|Запорізька область|http://decentralization.gov.ua/region/common/id/455|5 786|341|552|15|12 169 430|12 169 430||1 804 658|0|36714|29|2|1|1|4|3|10|0|4|3|0|1|6|1|1|1|1|1|1|1||
Приморська територіальна громада|Запорізька область|http://decentralization.gov.ua/region/common/id/457||||||||||||||||||||||||||||||||
Смирновська територіальна громада|Запорізька область|http://decentralization.gov.ua/region/common/id/461|3 793  616|296|320|8|5 532 130|||||31760|20|1|1|2|1|0|8|1|4|1|0|1|6|1|1|1|1|1|1|3||
Таврійська територіальна громада|Запорізька область|http://decentralization.gov.ua/region/common/id/1327||||||||||||||||||||||||||||||||
Чернігівська територіальна громада|Запорізька область|http://decentralization.gov.ua/region/common/id/463||||||||||||||||||||||||||||||||
Широківська територіальна громада|Запорізька область|http://decentralization.gov.ua/region/common/id/465||||||||||||||||||||||||||||||||
Білоберізька територіальна громада|Івано-Франківська область|http://decentralization.gov.ua/region/common/id/1016|2745|262|355|4|2 161 700|1162 200||999 500||4635|19||||1|0|9|0|4|0|1|0||true|true|true|true|true|true|true||
Більшівцівська територіальна громада|Івано-Франківська область|http://decentralization.gov.ua/region/common/id/1021||||||||||||||||||||||||||||||||
Верхнянська територіальна громада|Івано-Франківська область|http://decentralization.gov.ua/region/common/id/746|10752|553|1238|12|9 418 400|4 308 300|34 000|5 076 100|0|14062|36||||1|0||0|8|2|0|0||true||true|true|true|true|true||
Витвицька територіальна громада|Івано-Франківська область|http://decentralization.gov.ua/region/common/id/1026||||||||||||||||||||||||||||||||
Космацька територіальна громада|Івано-Франківська область|http://decentralization.gov.ua/region/common/id/1034||||||||||||||||||||||||||||||||
Матеївецька територіальна громада|Івано-Франківська область|http://decentralization.gov.ua/region/common/id/1279||||||||||||||||||||||||||||||||
Нижньовербізька територіальна громада|Івано-Франківська область|http://decentralization.gov.ua/region/common/id/1280||||||||||||||||||||||||||||||||
Олешанська територіальна громада|Івано-Франківська область|http://decentralization.gov.ua/region/common/id/1055||||||||||||||||||||||||||||||||
П’ядицька територіальна громада|Івано-Франківська область|http://decentralization.gov.ua/region/common/id/1281||||||||||||||||||||||||||||||||
Печеніжинська територіальна громада|Івано-Франківська область|http://decentralization.gov.ua/region/common/id/745|17657|1124|2050|9|12 900 600|4 752 900|30 000|8 117 700|0|18447|40||||1|0||0|6|4|0|0||true||true|true|true|true|true||
Старобогородчанська територіальна громада|Івано-Франківська область|http://decentralization.gov.ua/region/common/id/744|6120|433|754|5|5 841 600|2 905 000|0|2 936 600|0|8433|20||||1|0|9|0|4|1|0|0||true|true|true|true|true|true|true||
Тлумацька територіальна громада|Івано-Франківська область|http://decentralization.gov.ua/region/common/id/1054||||||||||||||||||||||||||||||||
Бобринецька територіальна громада|Кіровоградська область|http://decentralization.gov.ua/region/common/id/714|12035|417|843|9|15261300|13747600  0  1630700  0|13747600  0  1630700  0|13747600  0  1630700  0|13747600  0  1630700  0|194298||2|2|0|1|0|6|5|3|1|1|0||true|true|true|true|true|true|true||
Великоандрусівська територіальна громада|Кіровоградська область|http://decentralization.gov.ua/region/common/id/1282||||||||||||||||||||||||||||||||
Великосеверинівська територіальна громада|Кіровоградська область|http://decentralization.gov.ua/region/common/id/1355||||||||||||||||||||||||||||||||
Ганнівська територіальна громада|Кіровоградська область|http://decentralization.gov.ua/region/common/id/1163||||||||||||||||||||||||||||||||
Маловисківська територіальна громада|Кіровоградська область|http://decentralization.gov.ua/region/common/id/748|14116|802|1373|10|18599500|18599500  -  -  -|18599500  -  -  -|18599500  -  -  -|18599500  -  -  -|23183150000||5|false|false|4|2|9|1|6|1|1|false||true|true|true|true|true|true|true||
Новоукраїнська територіальна громада|Кіровоградська область|http://decentralization.gov.ua/region/common/id/1160|20227|951|2285|12|22 504970||22 504970  200000  -  -|22 504970  200000  -  -|22 504970  200000  -  -|348|15||||4|false|11|false|false|false|false|false|9|4|1|1|1|1|1|4||
Соколівська територіальна громада|Кіровоградська область|http://decentralization.gov.ua/region/common/id/1155||||||||||||||||||||||||||||||||
Іллінівська територіальна громада|Донецька область|http://decentralization.gov.ua/region/common/id/1268|10467|542|1104|25|21685307|24131947|||-2446640|526.52|60||||7|1|28|0|10|5|0|0||false|false|false|true|false|false|true||
Лиманська територіальна громада|Донецька область|http://decentralization.gov.ua/region/common/id/145|42552|3725||40|54976800|56344300|50000|0|1417500|1209.75|138||||23|1|45|13|19|11|3|0|true|true|true|true|true|true|true|true||
Миколаївська територіальна громада|Донецька область|http://decentralization.gov.ua/region/common/id/150|23589|1339|1546|15|13099844|12242044|857800|0|0|280.4|6||||7|1|7|0|5|2|1|1||true|true|false|false|true|true|true||
Сіверська територіальна громада|Донецька область|http://decentralization.gov.ua/region/common/id/162||||||||||||||||||||||||||||||||
Соледарська територіальна громада|Донецька область|http://decentralization.gov.ua/region/common/id/161|22541|516|906|37|37621298|45654070|0|0|8032772|14.108|||||3|2|3|1|0|1|1|1|||true|false|true|true|false|true||
Черкаська територіальна громада|Донецька область|http://decentralization.gov.ua/region/common/id/165|11116|634|854|11|5877994|6137651|68033|0|0|296.73|7||||7|0|6|0|6|2|0|1||true|false|false|false|false||true||
Шахівська територіальна громада|Донецька область|http://decentralization.gov.ua/region/common/id/154|3384|179|297|14|15677000|15584000|93000|0|0|23176|14|||0|2|0|4|0|5|1|0|0||false|false|false|false|false|false|true||
Андрушківська територіальна громада|Житомирська область|http://decentralization.gov.ua/region/common/id/671||||||||||||||||||||||||||||||||
Баранівська територіальна громада|Житомирська область|http://decentralization.gov.ua/region/common/id/672||||||||||||||||||||||||||||||||
Барашівська територіальна громада|Житомирська область|http://decentralization.gov.ua/region/common/id/673||||||||||||||||||||||||||||||||
Білокоровицька територіальна громада|Житомирська область|http://decentralization.gov.ua/region/common/id/1269||||||||||||||||||||||||||||||||
Брусилівська територіальна громада|Житомирська область|http://decentralization.gov.ua/region/common/id/675||||||||||||||||||||||||||||||||
Високівська територіальна громада|Житомирська область|http://decentralization.gov.ua/region/common/id/677||250||5|2952500|2092100|false|860400|false|9676|21||||4|false|10|false|4|1|false|false|6|1|1|1|1|1|1|1||
Вишевицька територіальна громада|Житомирська область|http://decentralization.gov.ua/region/common/id/738||219||5|2718100|1777400|false|940700|false|1005|19|2|2||1|false|9|false|3|2|false|false||1|1|false|false|false|false|1||
